0x0  L1SwordAndShield
0x1  L2Sword
0x2  L3Sword
0x3  L4Sword
0x4  BlueShield
0x5  RedShield
0x6  MirrorShield
0x7  FireRod
0x8  IceRod
0x9  Hammer
0xA  Hookshot
0xB  Bow
0xC  Boomerang
0xD  Powder
0xE  Bee
0xF  Bombos
0x10  Ether
0x11  Quake
0x12  Lamp
0x13  Shovel
0x14  OcarinaInactive
0x15  CaneOfSomaria
0x16  Bottle
0x17  PieceOfHeart
0x18  CaneOfByrna
0x19  Cape
0x1A  MagicMirror
0x1B  PowerGlove
0x1C  TitansMitt
0x1D  BookOfMudora
0x1E  Flippers
0x1F  MoonPearl
0x20  Crystal
0x21  BugCatchingNet
0x22  BlueMail
0x23  RedMail
0x24  Key
0x25  Compass
0x26  HeartContainerNoAnimation
0x27  Bomb
0x28  ThreeBombs
0x29  Mushroom
0x2A  RedBoomerang
0x2B  BottleWithRedPotion
0x2C  BottleWithGreenPotion
0x2D  BottleWithBluePotion
0x2E  RedPotion
0x2F  GreenPotion
0x30  BluePotion
0x31  TenBombs
0x32  BigKey
0x33  Map
0x34  OneRupee
0x35  FiveRupees
0x36  TwentyRupees
0x37  PendantOfCourage
0x38  PendantOfWisdom
0x39  PendantOfPower
0x3A  BowAndArrows
0x3B  BowAndSilverArrows
0x3C  BottleWithBee
0x3D  BottleWithFairy
0x3E  BossHeartContainer
0x3F  HeartContainer
0x40  OneHundredRupees
0x41  FiftyRupees
0x42  Heart
0x43  Arrow
0x44  TenArrows
0x45  SmallMagic
0x46  ThreeHundredRupees
0x47  TwentyRupees2
0x48  BottleWithGoldBee
0x49  L1Sword
0x4A  OcarinaActive
0x4B  PegasusBoots
0x4C  BombUpgrade50
0x4D  ArrowUpgrade70
0x4E  HalfMagic
0x4F  QuarterMagic
0x50  MasterSword
0x51  BombUpgrade5
0x52  BombUpgrade10
0x53  ArrowUpgrade5
0x54  ArrowUpgrade10
0x55  Programmable1
0x56  Programmable2
0x57  Programmable3
0x58  SilverArrowUpgrade
0x59  Rupoor
0x5A  Nothing
0x5B  RedClock
0x5C  BlueClock
0x5D  GreenClock
0x5E  ProgressiveSword
0x5F  ProgressiveShield
0x60  ProgressiveArmor
0x61  ProgressiveGlove
0x62  singleRNG
0x63  multiRNG
0x64  ProgressiveBow
0x65  ProgressiveBowAlternate
0x6A  Triforce
0x6B  PowerStar
0x6C  TriforcePiece
0x70  MapLW
0x71  MapDW
0x72  MapA2
0x73  MapD7
0x74  MapD4
0x75  MapP3
0x76  MapD5
0x77  MapD3
0x78  MapD6
0x79  MapD1
0x7A  MapD2
0x7B  MapA1
0x7C  MapP2
0x7D  MapP1
0x7E  MapH1
0x7F  MapH2
0x82  CompassA2
0x83  CompassD7
0x84  CompassD4
0x85  CompassP3
0x86  CompassD5
0x87  CompassD3
0x88  CompassD6
0x89  CompassD1
0x8A  CompassD2
0x8B  CompassA1
0x8C  CompassP2
0x8D  CompassP1
0x8E  CompassH1
0x8F  CompassH2
0x92  BigKeyA2
0x93  BigKeyD7
0x94  BigKeyD4
0x95  BigKeyP3
0x96  BigKeyD5
0x97  BigKeyD3
0x98  BigKeyD6
0x99  BigKeyD1
0x9A  BigKeyD2
0x9B  BigKeyA1
0x9C  BigKeyP2
0x9D  BigKeyP1
0x9E  BigKeyH1
0x9F  BigKeyH2
0xA0  KeyH2
0xA1  KeyH1
0xA2  KeyP1
0xA3  KeyP2
0xA4  KeyA1
0xA5  KeyD2
0xA6  KeyD1
0xA7  KeyD6
0xA8  KeyD3
0xA9  KeyD5
0xAA  KeyP3
0xAB  KeyD4
0xAC  KeyD7
0xAD  KeyA2
0xAF  KeyGK
