0xE96E  Sewers - Dark Cross
0xE971  Secret Passage
0xE974  Hyrule Castle - Boomerang Chest
0xE977  Eastern Palace - Compass Chest
0xE97A  King's Tomb
0xE97D  Eastern Palace - Big Chest
0xE980  Pyramid Fairy - Left
0xE983  Pyramid Fairy - Right
0xE986  Swamp Palace - Map Chest
0xE989  Swamp Palace - Big Chest
0xE98C  Floodgate Chest
0xE98F  Desert Palace - Big Chest
0xE992  Skull Woods - Compass Chest
0xE995  Ice Palace - Freezor Chest
0xE998  Skull Woods - Big Chest
0xE99B  Skull Woods - Map Chest
0xE99E  Skull Woods - Big Key Chest
0xE9A1  Skull Woods - Pot Prison
0xE9A4  Ice Palace - Big Key Chest
0xE9AA  Ice Palace - Big Chest
0xE9AD  Tower of Hera - Map Chest
0xE9B0  Waterfall Fairy - Left
0xE9B3  Eastern Palace - Cannonball Chest
0xE9B6  Desert Palace - Map Chest
0xE9B9  Eastern Palace - Big Key Chest
0xE9BC  Link's House
0xE9BF  Spiral Cave
0xE9C2  Desert Palace - Big Key Chest
0xE9C5  Mimic Cave
0xE9C8  Skull Woods - Pinball Room
0xE9CB  Desert Palace - Compass Chest
0xE9CE  Kakariko Tavern
0xE9D1  Waterfall Fairy - Right
0xE9D4  Ice Palace - Compass Chest
0xE9DA  Misery Mire - Spike Chest
0xE9DD  Ice Palace - Map Chest
0xE9E0  Ice Palace - Spike Room
0xE9E3  Ice Palace - Iced T Room
0xE9E6  Tower of Hera - Big Key Chest
0xE9E9  Chicken House
0xE9EC  Brewery
0xE9EF  C-Shaped House
0xE9F2  Aginah's Cave
0xE9F5  Eastern Palace - Map Chest
0xE9F8  Tower of Hera - Big Chest
0xE9FB  Tower of Hera - Compass Chest
0xE9FE  Skull Woods - Bridge Room
0xEA01  Thieves' Town - Map Chest
0xEA04  Thieves' Town - Big Key Chest
0xEA07  Thieves' Town - Compass Chest
0xEA0A  Thieves' Town - Ambush Chest
0xEA0D  Thieves' Town - Attic
0xEA10  Thieves' Town - Big Chest
0xEA13  Thieves' Town - Blind's Cell
0xEA16  Turtle Rock - Chain Chomps
0xEA19  Turtle Rock - Big Chest
0xEA1C  Turtle Rock - Roller Room - Left
0xEA1F  Turtle Rock - Roller Room - Right
0xEA22  Turtle Rock - Compass Chest
